SERVICE_ID,APP_CODE,IP_ADDRESS,PROCESS_USER,PROCESS_COMMAND,PROCESS_DESC,PROCESS_NUM,IS_LOADBALANCE,HOST_ROLE,USERS_IN_BANK,USERS_TOTAL,USERS_ROLE,USERS_TYPE,PROCESS_ALIAS,MIN_COUNT,MAX_COUNT,BEGIN_TIME,END_TIME
AMCA_/bin/sh /weblogic/domains/amovs_domain/bin/startManagedWebLogic.sh XBRLServer http://10.227.1.2:17101,AMCA,10.227.1.2,amovs,/bin/sh /weblogic/domains/amovs_domain/bin/startManagedWebLogic.sh XBRLServer http://10.227.1.2:17101,XBRLServer,1,否,1,0,0,0,0,/bin/sh /weblogic/domains/amovs_domain/bin/startManagedWebLogic.sh XBRLServer http://10.227.1.2:17101,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amots_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,AMCA,10.227.1.3,amots,/bin/sh /weblogic/domains/amots_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,adminserver,1,否,1,0,0,0,0,/bin/sh /weblogic/domains/amots_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amots_domain/bin/startManagedWebLogic.sh OTSServer http://10.227.1.3:17101,AMCA,10.227.1.3,amots,/bin/sh /weblogic/domains/amots_domain/bin/startManagedWebLogic.sh OTSServer http://10.227.1.3:17101,adminserver,1,否,1,0,0,0,0,/bin/sh /weblogic/domains/amots_domain/bin/startManagedWebLogic.sh OTSServer http://10.227.1.3:17101,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amots_domain/bin/startWebLogic.sh,AMCA,10.227.1.3,amots,/bin/sh /weblogic/domains/amots_domain/bin/startWebLogic.sh,adminsever,1,否,1,0,0,0,0,/bin/sh /weblogic/domains/amots_domain/bin/startWebLogic.sh,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amots_domain/bin/startWebLogic.sh,AMCA,10.227.1.4,amots,/bin/sh /weblogic/domains/amots_domain/bin/startWebLogic.sh,weblogic,1,否,1,0,0,0,0,/bin/sh /weblogic/domains/amots_domain/bin/startWebLogic.sh,1,1,0:00,24:00:00
AMCA_/bin/sh /weblogic/domains/amots_domain/bin/startManagedWebLogic.sh OTSServer http://10.227.1.4:17101,AMCA,10.227.1.4,amots,/bin/sh /weblogic/domains/amots_domain/bin/startManagedWebLogic.sh OTSServer http://10.227.1.4:17101,OTSServer,1,否,1,0,0,0,0,/bin/sh /weblogic/domains/amots_domain/bin/startManagedWebLogic.sh OTSServer http://10.227.1.4:17101,1,1,0:00,24:00:00
AMFE_/opt/amfe/AMFEServer/lib/boot/exec/wrapper-linux-x86-32 /opt/amfe/AMFEServer/conf/wrapper.conf wrapper.syslog.ident=mule wrapper.pidfile=/opt/amfe/AMFEServer/bin/./.mule.pid wrapper.daemonize=TRUE wrapper.working.dir=/opt/amfe/AMFEServer/bin wrapper.app.parameter.1=-config wrapper.app.parameter.2=amfeyak-config-loader.xml wrapper.app.parameter.3= wrapper.app.parameter.4= wrapper.app.parameter.5= wrapper.app.parameter.6= wrapper.app.parameter.7= wrapper.app.parameter.8= wrapper.app.parameter.9=start0,AMFE,10.254.253.50,amfe,/opt/amfe/AMFEServer/lib/boot/exec/wrapper-linux-x86-32 /opt/amfe/AMFEServer/conf/wrapper.conf wrapper.syslog.ident=mule wrapper.pidfile=/opt/amfe/AMFEServer/bin/./.mule.pid wrapper.daemonize=TRUE wrapper.working.dir=/opt/amfe/AMFEServer/bin wrapper.app.parameter.1=-config wrapper.app.parameter.2=amfeyak-config-loader.xml wrapper.app.parameter.3= wrapper.app.parameter.4= wrapper.app.parameter.5= wrapper.app.parameter.6= wrapper.app.parameter.7= wrapper.app.parameter.8= wrapper.app.parameter.9=start0,AMFEServer服务,1,是,4,0,0,0,0,/usr/java/jdk1.5.0_21/bin/java -Dmule.home=/opt/amfe/AMFEServer -Dmule.base=/opt/amfe/AMFEServer -Dmule.workingDirectory=./.mule -Dmule.encoding=utf-8 -Dibm.stream.nio=true -Djava.awt.headless=true -Xms312m -Xmx512m -Djava.library.path=%LD_LIBRARY_PATH%:/opt/amfe/AMFEServer/lib/boot -classpath %MULE_LIB%:/opt/amfe/AMFEServer/bin/../conf:/opt/amfe/AMFEServer/lib/boot/commons-cli-1.0-osgi.jar:/opt/amfe/AMFEServer/lib/boot/jcl104-over-slf4j-1.5.0.jar:/opt/amfe/AMFEServer/lib/boot/log4j-1.2.14.jar:/opt/amfe/AMFEServer/lib/boot/mule-module-boot-2.2.1.jar:/opt/amfe/AMFEServer/lib/boot/slf4j-api-1.5.0.jar:/opt/amfe/AMFEServer/lib/boot/slf4j-log4j12-1.5.0.jar:/opt/amfe/AMFEServer/lib/boot/wrapper-3.4.0.jar.jar:/opt/amfe/AMFEServer/lib/yak/Yak.jar:/opt/amfe/AMFEServer/lib/yak/bcprov-jdk14-129.jar:/opt/amfe/AMFEServer/lib/yak/dhbcore.jar:/opt/amfe/AMFEServer/lib/yak/flute-1.3.jar:/opt/amfe/AMFEServer/lib/yak/freemarker-2.3.11.jar:/opt/amfe/AMFEServer/lib/yak/fscontext.jar:/opt/amfe/AMFEServer/lib/yak/jackson-core-lgpl-1.0.1.jar:/opt/amfe/AMFEServer/lib/yak/jaxen-1.1.1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-ajp-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-annotations-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-client-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-continuation-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-deploy-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-http-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-io-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-jmx-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-jndi-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-plus-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-rewrite-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-security-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-server-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-servlet-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-servlets-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-util-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-webapp-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jetty-xml-7.0.0.RC1.jar:/opt/amfe/AMFEServer/lib/yak/jline-0.9.93.jar:/opt/amfe/AMFEServer/lib/yak/milyn-commons-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-edisax-parser-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-magger-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-scribe-core-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-scribe-hibernate-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-scribe-ibatis-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-scribe-jpa-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-calc-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-core-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-css-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-csv-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-edi-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-ejc-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-fixed-length-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-javabean-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-json-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-misc-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-persistence-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-routing-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-rules-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-scripting-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-templating-1.3.jar:/opt/amfe/AMFEServer/lib/yak/milyn-smooks-validation-1.3.jar:/opt/amfe/AMFEServer/lib/yak/mvel2-2.0.14.jar:/opt/amfe/AMFEServer/lib/yak/opencsv-1.8.jar:/opt/amfe/AMFEServer/lib/yak/persistence-api-1.0.jar:/opt/amfe/AMFEServer/lib/yak/sac-1.3.jar:/opt/amfe/AMFEServer/lib/yak/stringtemplate-2.2.jar:/opt/amfe/AMFEServer/lib/yak/yjp-controller-api-redist.jar:/opt/amfe/AMFEServer/lib/yakapp/AmfeCommon.jar:/opt/amfe/AMFEServer/lib/yakapp/AmfeEsb.jar:/opt/amfe/AMFEServer/lib/yakapp/AmfeService.jar -Dwrapper.key=V35q4CsXspJzGMis -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.disa,1,1,0:00,24:00:00
AMFE_db2sysc 0,AMFE,10.254.253.50,db2inst1,db2sysc 0,db2服务进程,1,是,4,0,0,0,0,db2vend (PD Vendor Process - 1),1,1,0:00,24:00:00
AMFE_db2ckpwd 0,AMFE,10.254.253.50,db2inst1,db2ckpwd 0,db2服务进程,3,是,4,0,0,0,0,db2vend (PD Vendor Process - 1),1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqrmppa -m QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqrmppa -m QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip3,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqfcxba -m QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqfcxba -m QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,/opt/mqm/bin/amqzxma0 -m QM_AMFE_C1030311000455_01,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip0,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip0,MQ进程,1,是,4,0,0,0,0,/opt/mqm/bin/amqzxma0 -m QM_AMFE_C1030311000455_01,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqfqpub -mQM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqfqpub -mQM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,/opt/mqm/bin/amqzxma0 -m QM_AMFE_C1030311000455_01,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqzmuf0 -m QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqzmuf0 -m QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,/opt/mqm/bin/amqzxma0 -m QM_AMFE_C1030311000455_01,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqzmuc0 -m QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqzmuc0 -m QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,/opt/mqm/bin/amqzxma0 -m QM_AMFE_C1030311000455_01,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqzmur0 -m QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqzmur0 -m QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,/opt/mqm/bin/amqzxma0 -m QM_AMFE_C1030311000455_01,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqzxma0 -m QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqzxma0 -m QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,/opt/mqm/bin/amqzxma0 -m QM_AMFE_C1030311000455_01,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/runmqlsr -r -m QM_AMFE_C1030311000455_01 -t TCP -p 9111,AMFE,10.254.253.50,mqm,/opt/mqm/bin/runmqlsr -r -m QM_AMFE_C1030311000455_01 -t TCP -p 9111,MQ进程,1,是,4,0,0,0,0,amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip3,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqpcsea QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqpcsea QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip3,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/runmqchi -m QM_AMFE_C1030311000455_01 -q SYSTEM.CHANNEL.INITQ -r,AMFE,10.254.253.50,mqm,/opt/mqm/bin/runmqchi -m QM_AMFE_C1030311000455_01 -q SYSTEM.CHANNEL.INITQ -r,MQ进程,1,是,4,0,0,0,0,amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip3,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqzmgr0 -m QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqzmgr0 -m QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip3,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqzdmaa -m QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqzdmaa -m QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip3,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqrrmfa -m QM_AMFE_C1030311000455_01 -t2332800 -s2592000 -p2592000 -g5184000 -c3600,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqrrmfa -m QM_AMFE_C1030311000455_01 -t2332800 -s2592000 -p2592000 -g5184000 -c3600,MQ进程,1,是,4,0,0,0,0,amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip3,1,1,0:00,24:00:00
AMFE_/opt/mqm/bin/amqzfuma -m QM_AMFE_C1030311000455_01,AMFE,10.254.253.50,mqm,/opt/mqm/bin/amqzfuma -m QM_AMFE_C1030311000455_01,MQ进程,1,是,4,0,0,0,0,amqzlaa0 -mQM_AMFE_C1030311000455_01 -fip3,1,1,0:00,24:00:00
AML_./tftserver start,AML,10.1.42.51,aml,./tftserver start,tft,1,是,3,0,0,0,0,./tftserver start,1,1,0:00,24:00:00
AML_/opt/java6/bin/IA64N/java -Xms2512m -Xmx2512m com.ist.server.MainServer,AML,10.1.42.51,aml,/opt/java6/bin/IA64N/java -Xms2512m -Xmx2512m com.ist.server.MainServer,batchserver,1,是,3,0,0,0,0,/opt/java6/bin/IA64N/java -Xms2512m -Xmx2512m com.ist.onlineserver.OnlineServer,1,1,0:00,24:00:00
AML_/opt/java6/bin/IA64N/java -Xms2512m -Xmx2512m com.ist.onlineserver.OnlineServer,AML,10.1.42.51,aml,/opt/java6/bin/IA64N/java -Xms2512m -Xmx2512m com.ist.onlineserver.OnlineServer,batchserver,1,是,3,0,0,0,0,/opt/java6/bin/IA64N/java -Xms2512m -Xmx2512m com.ist.onlineserver.OnlineServer,1,1,0:00,24:00:00
AML_/opt/java6/bin/IA64N/java -Xms512m -Xmx2048m com.ist.server.ConfigServer,AML,10.1.42.51,aml,/opt/java6/bin/IA64N/java -Xms512m -Xmx2048m com.ist.server.ConfigServer,batchserver,1,是,3,0,0,0,0,/opt/java6/bin/IA64N/java -Xms512m -Xmx2048m com.ist.server.ConfigServer,1,1,0:00,24:00:00
AML_/bin/sh /weblogic/domains/aml_domain/bin/startManagedWebLogic.sh AmlServer http://10.1.49.130:17101,AML,10.1.49.130,weblogic,/bin/sh /weblogic/domains/aml_domain/bin/startManagedWebLogic.sh AmlServer http://10.1.49.130:17101,weblogic,1,是,1,0,0,0,0,/weblogic/jdk/bin/java -server -Xms4096m -Xmx4096m -XX:MaxPermSize=512m -verbose:gc -Xloggc:/weblogic/wlslogs/aml_domain/AmlServer/AmlServer_201706221954_GC.log -Dweblogic.Domain=aml_domain -Dweblogic.threadpool.MinPoolSize=50 -Dweblogic.threadpool.MaxPoolSize=200 -Djava.security.egd=file:/dev/./urandom -Dweblogic.Name=AmlServer -Djava.security.policy=/weblogic/bea/wlserver_10.3/server/lib/weblogic.policy -Dweblogic.ProductionModeEnabled=true -Dweblogic.security.SSL.trustedCAKeyStore=/weblogic/bea/wlserver_10.3/server/lib/cacerts -da -Dplatform.home=/weblogic/bea/wlserver_10.3 -Dwls.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.management.discover=false -Dweblogic.management.server=http://10.1.49.131:17101 -Dwlw.iterativeDev=false -Dwlw.testConsole=false -Dwlw.logErrorsToConsole=false -Dweblogic.ext.dirs=/weblogic/bea/patch_wls1036/profiles/default/sysext_manifest_classpath weblogic.Server,1,1,0:00,24:00:00
AML_/bin/sh /weblogic/domains/aml_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,AML,10.1.49.130,weblogic,/bin/sh /weblogic/domains/aml_domain/bin/startWebLogic.sh nodebug noderby noiterativedev notestconsole noLogErrorsToConsole,weblogic,1,是,1,0,0,0,0,/weblogic/jdk/bin/java -server -Xms4096m -Xmx4096m -XX:MaxPermSize=512m -verbose:gc -Xloggc:/weblogic/wlslogs/aml_domain/AmlServer/AmlServer_201706221954_GC.log -Dweblogic.Domain=aml_domain -Dweblogic.threadpool.MinPoolSize=50 -Dweblogic.threadpool.MaxPoolSize=200 -Djava.security.egd=file:/dev/./urandom -Dweblogic.Name=AmlServer -Djava.security.policy=/weblogic/bea/wlserver_10.3/server/lib/weblogic.policy -Dweblogic.ProductionModeEnabled=true -Dweblogic.security.SSL.trustedCAKeyStore=/weblogic/bea/wlserver_10.3/server/lib/cacerts -da -Dplatform.home=/weblogic/bea/wlserver_10.3 -Dwls.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.management.discover=false -Dweblogic.management.server=http://10.1.49.131:17101 -Dwlw.iterativeDev=false -Dwlw.testConsole=false -Dwlw.logErrorsToConsole=false -Dweblogic.ext.dirs=/weblogic/bea/patch_wls1036/profiles/default/sysext_manifest_classpath weblogic.Server,1,1,0:00,24:00:00
AML_/bin/sh /weblogic/domains/aml_domain/bin/startWebLogic.sh,AML,10.1.49.130,weblogic,/bin/sh /weblogic/domains/aml_domain/bin/startWebLogic.sh,weblogic,1,是,1,0,0,0,0,/weblogic/jdk/bin/java -server -Xms4096m -Xmx4096m -XX:MaxPermSize=512m -verbose:gc -Xloggc:/weblogic/wlslogs/aml_domain/AmlServer/AmlServer_201706221954_GC.log -Dweblogic.Domain=aml_domain -Dweblogic.threadpool.MinPoolSize=50 -Dweblogic.threadpool.MaxPoolSize=200 -Djava.security.egd=file:/dev/./urandom -Dweblogic.Name=AmlServer -Djava.security.policy=/weblogic/bea/wlserver_10.3/server/lib/weblogic.policy -Dweblogic.ProductionModeEnabled=true -Dweblogic.security.SSL.trustedCAKeyStore=/weblogic/bea/wlserver_10.3/server/lib/cacerts -da -Dplatform.home=/weblogic/bea/wlserver_10.3 -Dwls.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.home=/weblogic/bea/wlserver_10.3/server -Dweblogic.management.discover=false -Dweblogic.management.server=http://10.1.49.131:17101 -Dwlw.iterativeDev=false -Dwlw.testConsole=false -Dwlw.logErrorsToConsole=false -Dweblogic.ext.dirs=/weblogic/bea/patch_wls1036/profiles/default/sysext_manifest_classpath weblogic.Server,1,1,0:00,24:00:00
